ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
2919959,BA,Maetinga,nacional,2026-09-03,,,
2920007,BA,Maiquinique,nacional,2026-09-03,,,
2920106,BA,Mairi,nacional,2026-09-03,,,
2920205,BA,Malhada,nacional,2026-09-03,,,
2920304,BA,Malhada de Pedras,nacional,2026-09-03,,,
2920403,BA,Manoel Vitorino,nacional,2026-09-03,,,
2920452,BA,Mansidão,nacional,2026-09-03,,,
2920502,BA,Maracás,nacional,2026-09-03,,,
2920601,BA,Maragogipe,nacional,2026-09-03,,,
2920700,BA,Maraú,nacional,2026-09-03,,,
2920809,BA,Marcionílio Souza,nacional,2026-09-03,,,
2920908,BA,Mascote,nacional,2026-09-03,,,
2921005,BA,Mata de São João,nacional,2026-09-03,,,
2921054,BA,Matina,nacional,2026-09-03,,,
2921104,BA,Medeiros Neto,nacional,2026-09-03,,,
2921203,BA,Miguel Calmon,nacional,2026-09-03,,,
2921302,BA,Milagres,nacional,2026-09-03,,,
2921401,BA,Mirangaba,nacional,2026-09-03,,,
2921450,BA,Mirante,nacional,2026-09-03,,,
2921500,BA,Monte Santo,nacional,2026-09-03,,,
2921609,BA,Morpará,nacional,2026-09-03,,,
2921708,BA,Morro do Chapéu,nacional,2026-09-03,,,
2921807,BA,Mortugaba,nacional,2026-09-03,,,
2921906,BA,Mucugê,nacional,2026-09-03,,,
2922003,BA,Mucuri,nacional,2026-09-03,,,
2922052,BA,Mulungu do Morro,nacional,2026-09-03,,,
2922102,BA,Mundo Novo,nacional,2026-09-03,,,
2922201,BA,Muniz Ferreira,nacional,2026-09-03,,,
2922250,BA,Muquém de São Francisco,nacional,2026-09-03,,,
2922300,BA,Muritiba,nacional,2026-09-03,,,
2922409,BA,Mutuípe,nacional,2026-09-03,,,
2922508,BA,Nazaré,nacional,2026-09-03,,,
2922607,BA,Nilo Peçanha,nacional,2026-09-03,,,
2922656,BA,Nordestina,nacional,2026-09-03,,,
2922706,BA,Nova Canaã,nacional,2026-09-03,,,
